,State Name,county Name,County Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,Year,Month,Day,Month_Day,Five-Year Avg.
236,Alabama,Shelby,117,2020-01-01,3,Good,SO2,1,2020,1,1,01-01,22.16
237,Alabama,Shelby,117,2020-01-02,1,Good,SO2,1,2020,1,2,01-02,19.0
238,Alabama,Shelby,117,2020-01-03,0,Good,SO2,1,2020,1,3,01-03,18.28
239,Alabama,Shelby,117,2020-01-04,0,Good,SO2,1,2020,1,4,01-04,17.869565217391305
240,Alabama,Shelby,117,2020-01-05,1,Good,SO2,1,2020,1,5,01-05,20.291666666666668
241,Alabama,Shelby,117,2020-01-06,1,Good,SO2,1,2020,1,6,01-06,22.04
242,Alabama,Shelby,117,2020-01-07,0,Good,SO2,1,2020,1,7,01-07,24.96
243,Alabama,Shelby,117,2020-01-08,51,Moderate,SO2,1,2020,1,8,01-08,20.47826086956522
244,Alabama,Shelby,117,2020-01-09,17,Good,SO2,1,2020,1,9,01-09,22.875
245,Alabama,Shelby,117,2020-01-10,0,Good,SO2,1,2020,1,10,01-10,23.25
246,Alabama,Shelby,117,2020-01-11,0,Good,SO2,1,2020,1,11,01-11,25.833333333333332
247,Alabama,Shelby,117,2020-01-12,1,Good,SO2,1,2020,1,12,01-12,23.875
248,Alabama,Shelby,117,2020-01-13,1,Good,SO2,1,2020,1,13,01-13,21.12
249,Alabama,Shelby,117,2020-01-14,4,Good,SO2,1,2020,1,14,01-14,21.666666666666668
250,Alabama,Shelby,117,2020-01-15,1,Good,SO2,1,2020,1,15,01-15,25.6
251,Alabama,Shelby,117,2020-01-16,0,Good,SO2,1,2020,1,16,01-16,28.043478260869566
252,Alabama,Shelby,117,2020-01-17,51,Moderate,SO2,1,2020,1,17,01-17,23.166666666666668
253,Alabama,Shelby,117,2020-01-18,3,Good,SO2,1,2020,1,18,01-18,23.04
254,Alabama,Shelby,117,2020-01-19,0,Good,SO2,1,2020,1,19,01-19,23.125
255,Alabama,Shelby,117,2020-01-20,0,Good,SO2,1,2020,1,20,01-20,21.0
256,Alabama,Shelby,117,2020-01-21,0,Good,SO2,1,2020,1,21,01-21,23.458333333333332
257,Alabama,Shelby,117,2020-01-22,51,Moderate,SO2,1,2020,1,22,01-22,27.52173913043478
258,Alabama,Shelby,117,2020-01-23,27,Good,SO2,1,2020,1,23,01-23,21.73913043478261
259,Alabama,Shelby,117,2020-01-24,0,Good,SO2,1,2020,1,24,01-24,20.666666666666668
260,Alabama,Shelby,117,2020-01-25,0,Good,SO2,1,2020,1,25,01-25,20.458333333333332
